area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
1001,5,10,71,0,2024,2,,1075,9621,9709,9785,121231614,13605216,71320,961,,0.97,0.92,0.92,0.92,0.91,1.02,1.01,1,,76,7.6,357,3.9,370,4,383,4.1,10649273,9.6,-846680,-5.9,-45359,-38.9,50,5.5
1003,0,10,70,0,2024,2,,8808,84983,86089,87209,1069844129,131257945,754345,956,,1,1,1,1,1,1,1,1,,554,6.7,2383,2.9,2549,3.1,1488,1.7,86392207,8.8,3654390,2.9,-68473,-8.3,55,6.1
1003,1,10,71,0,2024,2,,36,396,405,406,7559516,0,0,1445,,0.82,0.24,0.24,0.24,0.27,0,0,1.1,,0,0,0,0,6,1.5,0,0,686784,10,0,0,0,0,124,9.4
1003,2,10,71,0,2024,2,,35,1127,1083,1056,14758867,0,0,1043,,0.67,0.42,0.41,0.39,0.41,0,0,1,,-3,-7.9,42,3.9,14,1.3,18,1.7,1209190,8.9,0,0,0,0,63,6.4
1003,3,10,71,0,2024,2,,96,9797,9853,10017,130969468,1228937,5852,1019,,0.77,1.2,1.19,1.22,1.38,0.54,1.36,1.15,,4,4.3,327,3.5,394,4.2,441,4.6,13665289,11.6,165167,15.5,3407,139.3,69,7.3
1003,5,10,71,0,2024,2,,8641,73663,74748,75730,916556278,130029008,748493,944,,1.01,1.02,1.02,1.01,1.01,1.02,1,0.99,,553,6.8,2014,2.8,2135,2.9,1029,1.4,70830944,8.4,3489223,2.8,-71880,-8.8,53,5.9
1005,0,10,70,0,2024,2,,614,7685,7727,7811,85031158,9768107,62064,845,,1,1,1,1,1,1,1,1,,14,2.3,-59,-0.8,0,0,8,0.1,2564055,3.1,-973167,-9.1,-44728,-41.9,27,3.3
1005,1,10,71,0,2024,2,,9,59,50,46,833687,0,0,1241,,2.92,0.4,0.34,0.31,0.37,0,0,1.07,,0,0,-1,-1.7,-1,-2,-5,-9.8,4580,0.6,0,0,0,0,60,5.1
1005,2,10,71,0,2024,2,,18,474,470,469,7034185,0,0,1149,,4.95,1.97,1.96,1.96,2.44,0,0,1.24,,-1,-5.3,10,2.2,4,0.9,-6,-1.3,490542,7.5,0,0,0,0,74,6.9
1005,3,10,71,0,2024,2,,31,941,956,954,10807426,101421,488,875,,3.58,1.27,1.28,1.3,1.43,0.6,1.38,1.12,,1,3.3,-10,-1.1,7,0.7,-6,-0.6,190356,1.8,1571,1.6,263,116.9,18,2.1
1005,5,10,71,0,2024,2,,556,6211,6251,6342,66355860,9666686,61576,814,,0.93,0.95,0.95,0.95,0.92,1.01,1,0.97,,14,2.6,-58,-0.9,-10,-0.2,25,0.4,1878577,2.9,-974738,-9.2,-44991,-42.2,25,3.2
1007,0,10,70,0,2024,2,,444,4747,4754,4754,60787605,4212899,24035,984,,1,1,1,1,1,1,1,1,,14,3.3,0,0,-53,-1.1,-39,-0.8,1873873,3.2,-749486,-15.1,-20685,-46.3,36,3.8
1007,1,10,71,0,2024,2,,9,68,66,68,1467257,0,0,1676,,4.04,0.74,0.72,0.74,0.91,0,0,1.24,,0,0,1,1.5,-2,-2.9,-3,-4.2,170841,13.2,0,0,0,0,224,15.4
1007,2,10,71,0,2024,2,,12,216,204,213,3704996,0,0,1351,,4.56,1.46,1.38,1.46,1.8,0,0,1.25,,-1,-7.7,41,23.4,25,14,36,20.3,951618,34.6,0,0,0,0,154,12.9
1007,3,10,71,0,2024,2,,31,1021,1028,1046,11151657,76172,152,831,,4.95,2.23,2.24,2.34,2.07,1.04,1.11,0.91,,0,0,-22,-2.1,-21,-2,-20,-1.9,583874,5.5,17765,30.4,35,29.9,59,7.6
1007,5,10,71,0,2024,2,,392,3442,3456,3427,44463695,4136727,23883,994,,0.91,0.85,0.85,0.84,0.86,1.01,1,1.01,,15,4,-20,-0.6,-55,-1.6,-52,-1.5,167540,0.4,-767251,-15.6,-20720,-46.5,16,1.6
1009,0,10,70,0,2024,2,,969,8952,9040,9145,101585981,10343602,56153,864,,1,1,1,1,1,1,1,1,,40,4.3,54,0.6,107,1.2,148,1.6,6933624,7.3,719,0,-8599,-13.3,50,6.1
1009,1,10,71,0,2024,2,,10,78,77,77,1272507,0,0,1266,,2.06,0.45,0.44,0.44,0.47,0,0,1.06,,0,0,-6,-7.1,-9,-10.5,-4,-4.9,34201,2.8,0,0,0,0,128,11.2
1009,2,10,71,0,2024,2,,12,135,137,142,1766422,0,0,985,,2.09,0.48,0.49,0.51,0.51,0,0,1.04,,0,0,-7,-4.9,-5,-3.5,-3,-2.1,170875,10.7,0,0,0,0,127,14.8
1009,3,10,71,0,2024,2,,43,1911,1936,1915,21446529,124673,251,859,,3.15,2.22,2.22,2.23,2.38,0.69,0.78,1.07,,0,0,-24,-1.2,-20,-1,-37,-1.9,1089118,5.3,-40290,-24.4,-79,-23.9,55,6.8
1009,5,10,71,0,2024,2,,904,6828,6890,7011,77100523,10218929,55902,858,,0.96,0.89,0.89,0.9,0.89,1.01,1,1,,40,4.6,91,1.4,141,2.1,192,2.8,5639430,7.9,41009,0.4,-8520,-13.2,46,5.7
1011,0,10,70,0,2024,2,,218,2864,2807,2763,35028246,3148821,20681,958,,1,1,1,1,1,1,1,1,,8,3.8,173,6.4,93,3.4,9,0.3,3039498,9.5,-1337728,-29.8,-66054,-76.2,53,5.9
1011,1,10,71,0,2024,2,,6,32,30,27,487027,0,0,1263,,5.49,0.58,0.55,0.51,0.52,0,0,0.96,,0,0,0,0,0,0,-5,-15.6,-6320,-1.3,0,0,0,0,52,4.3
1011,2,10,71,0,2024,2,,11,179,174,176,3560284,0,0,1553,,8.52,2,2,2.07,2.99,0,0,1.48,,1,10,12,7.2,10,6.1,13,8,709837,24.9,0,0,0,0,221,16.6
1011,3,10,71,0,2024,2,,15,319,322,320,3650804,0,0,877,,4.88,1.16,1.19,1.23,1.18,0,0,0.99,,0,0,5,1.6,4,1.3,-14,-4.2,158276,4.5,0,0,0,0,43,5.2
1011,5,10,71,0,2024,2,,186,2334,2281,2240,27330131,3148821,20681,920,,0.88,0.96,0.95,0.95,0.92,1.03,1.01,0.96,,7,3.9,156,7.2,79,3.6,15,0.7,2177705,8.7,-1337728,-29.8,-66054,-76.2,41,4.7
1013,0,10,70,0,2024,2,,556,6758,6759,6783,74371868,8841494,50550,845,,1,1,1,1,1,1,1,1,,12,2.2,-203,-2.9,-239,-3.4,-138,-2,717734,1,-1673537,-15.9,-35977,-41.6,31,3.8
1013,1,10,71,0,2024,2,,6,42,41,41,533596,0,0,993,,2.15,0.32,0.31,0.31,0.27,0,0,0.85,,0,0,2,5,1,2.5,0,0,22874,4.5,0,0,0,0,19,2
1013,2,10,71,0,2024,2,,12,92,93,93,1252381,0,0,1040,,3.64,0.44,0.44,0.45,0.5,0,0,1.12,,0,0,2,2.2,3,3.3,3,3.3,51535,4.3,0,0,0,0,14,1.4
1013,3,10,71,0,2024,2,,19,692,708,721,7939857,33087,66,864,,2.42,1.06,1.09,1.13,1.2,0.21,0.23,1.1,,-2,-9.5,-22,-3.1,-10,-1.4,-1,-0.1,147486,1.9,70,0.2,0,0,29,3.5
1013,5,10,71,0,2024,2,,519,5932,5917,5928,64646034,8808407,50484,839,,0.96,1.03,1.03,1.02,1.02,1.02,1.01,1,,14,2.8,-185,-3,-233,-3.8,-140,-2.3,495839,0.8,-1673607,-16,-35977,-41.6,32,4
1015,0,10,70,0,2024,2,,2869,43815,43766,43945,556981612,49154748,257258,977,,1,1,1,1,1,1,1,1,,72,2.6,-228,-0.5,-125,-0.3,95,0.2,21762668,4.1,-2874965,-5.5,-104113,-28.8,40,4.3
1015,1,10,71,0,2024,2,,45,3397,3404,3422,73886669,0,0,1668,,3.13,4.01,4.03,4.03,4.98,0,0,1.24,,-1,-2.2,-16,-0.5,2,0.1,29,0.9,6761794,10.1,0,0,0,0,151,10
1015,2,10,71,0,2024,2,,30,1833,1801,1780,25037399,0,0,1067,,1.77,1.34,1.33,1.32,1.32,0,0,1,,-1,-3.2,99,5.7,80,4.6,224,14.4,851685,3.5,0,0,0,0,-47,-4.2
1015,3,10,71,0,2024,2,,73,6430,6407,6526,82562287,121457,241,984,,1.8,1.52,1.52,1.58,1.67,0.14,0.16,1.09,,-1,-1.4,96,1.5,51,0.8,-14,-0.2,3958617,5,11074,10,-11,-4.4,41,4.3
1015,5,10,71,0,2024,2,,2721,32155,32154,32217,375495257,49033291,257017,898,,0.97,0.86,0.86,0.86,0.79,1.02,1.01,0.92,,75,2.8,-407,-1.2,-258,-0.8,-144,-0.4,10190572,2.8,-2886039,-5.6,-104102,-28.8,32,3.7
1017,0,10,70,0,2024,2,,796,8968,9155,9262,119312722,10918484,62740,1005,,1,1,1,1,1,1,1,1,,38,5,280,3.2,477,5.5,652,7.6,16470603,16,-630170,-5.5,-12402,-16.5,91,10
1017,1,10,71,0,2024,2,,6,49,53,52,804088,0,0,1205,,1.5,0.28,0.3,0.29,0.25,0,0,0.87,,0,0,-6,-10.9,-7,-11.7,-8,-13.3,45533,6,0,0,0,0,205,20.5
1017,2,10,71,0,2024,2,,14,130,129,131,1658194,0,0,981,,2.97,0.46,0.45,0.46,0.41,0,0,0.89,,1,7.7,-1,-0.8,0,0,0,0,75880,4.8,0,0,0,0,47,5
1017,3,10,71,0,2024,2,,48,1517,1540,1543,19225244,60665,255,964,,4.28,1.76,1.74,1.77,1.82,0.32,0.71,1.03,,0,0,14,0.9,32,2.1,43,2.9,1503897,8.5,4236,7.5,19,8.1,57,6.3
1017,5,10,71,0,2024,2,,728,7272,7433,7536,97625196,10857819,62485,1013,,0.94,0.95,0.95,0.95,0.96,1.02,1,1.01,,37,5.4,273,3.9,452,6.5,617,8.9,14845293,17.9,-634406,-5.5,-12421,-16.6,99,10.8
1019,0,10,70,0,2024,2,,503,5349,5417,5332,57539665,7289651,36827,825,,1,1,1,1,1,1,1,1,,13,2.7,110,2.1,35,0.7,-106,-1.9,1371592,2.4,-560991,-7.1,-14737,-28.6,18,2.2
1019,1,10,71,0,2024,2,,10,42,44,44,689681,0,0,1224,,3.96,0.41,0.42,0.43,0.45,0,0,1.08,,0,0,-7,-14.3,1,2.3,3,7.3,24384,3.7,0,0,0,0,70,6.1
1019,2,10,71,0,2024,2,,11,82,81,80,1034694,0,0,983,,3.69,0.49,0.48,0.49,0.53,0,0,1.09,,0,0,3,3.8,1,1.2,6,8.1,113577,12.3,0,0,0,0,71,7.8
1019,3,10,71,0,2024,2,,24,1180,1169,1197,13010809,54269,287,847,,3.38,2.29,2.24,2.39,2.55,0.43,1.37,1.11,,0,0,59,5.3,41,3.6,44,3.8,718970,5.8,11193,26,86,42.8,13,1.6
1019,5,10,71,0,2024,2,,458,4045,4123,4011,42804481,7235382,36540,811,,0.93,0.89,0.89,0.88,0.87,1.02,1,0.99,,13,2.9,55,1.4,-8,-0.2,-159,-3.8,514661,1.2,-572184,-7.3,-14823,-28.9,17,2.1
1021,0,10,70,0,2024,2,,951,9108,9240,9242,105585003,10711109,63686,883,,1,1,1,1,1,1,1,1,,38,4.2,-130,-1.4,-52,-0.6,-148,-1.6,1785716,1.7,232875,2.2,-4936,-7.2,25,2.9
1021,1,10,71,0,2024,2,,7,60,65,65,873718,0,0,1061,,1.47,0.34,0.36,0.36,0.31,0,0,0.87,,0,0,-5,-7.7,8,14,10,18.2,83797,10.6,0,0,0,0,31,3
1021,2,10,71,0,2024,2,,15,261,266,266,3600726,0,0,1048,,2.66,0.92,0.93,0.94,1,0,0,1.08,,1,7.1,8,3.2,10,3.9,13,5.1,394804,12.3,0,0,0,0,77,7.9
1021,3,10,71,0,2024,2,,34,1675,1680,1682,18236614,232480,464,836,,2.54,1.91,1.89,1.94,1.95,1.24,1.28,1.02,,-1,-2.9,8,0.5,8,0.5,-12,-0.7,490168,2.8,20115,9.5,-109,-19,22,2.7
1021,5,10,71,0,2024,2,,895,7112,7229,7229,82873945,10478629,63222,887,,0.97,0.92,0.92,0.91,0.92,1,1,1.01,,38,4.4,-141,-1.9,-78,-1.1,-159,-2.2,816947,1,212760,2.1,-4827,-7.1,24,2.8
1023,0,10,70,0,2024,2,,371,3335,3313,3304,50073892,3523384,19287,1161,,1,1,1,1,1,1,1,1,,1,0.3,42,1.3,-12,-0.4,-24,-0.7,1973972,4.1,-17174,-0.5,-9617,-33.3,45,4
1023,1,10,71,0,2024,2,,7,25,28,29,350741,0,0,987,,3.76,0.39,0.44,0.45,0.26,0,0,0.62,,0,0,-2,-7.4,4,16.7,3,11.5,38192,12.2,0,0,0,0,50,5.3
1023,2,10,71,0,2024,2,,11,60,59,56,695947,0,0,918,,5,0.58,0.57,0.55,0.41,0,0,0.72,,0,0,-8,-11.8,-8,-11.9,-11,-16.4,45824,7,0,0,0,0,175,23.6
1023,3,10,71,0,2024,2,,22,336,339,337,3521968,27178,53,803,,4.21,1.05,1.06,1.09,0.79,0.44,0.48,0.75,,-1,-4.3,-23,-6.4,-19,-5.3,-23,-6.4,11372,0.3,-6892,-20.2,-55,-50.9,51,6.8
1023,5,10,71,0,2024,2,,331,2914,2887,2882,45505236,3496206,19234,1209,,0.92,1.02,1.02,1.02,1.07,1.02,1,1.05,,2,0.6,75,2.6,11,0.4,7,0.2,1878584,4.3,-10282,-0.3,-9562,-33.2,37,3.2
1025,0,10,70,0,2024,2,,764,8240,8238,8230,102150482,9338502,53567,954,,1,1,1,1,1,1,1,1,,-3,-0.4,77,0.9,85,1,85,1,3205170,3.2,166731,1.8,-10806,-16.8,21,2.3
1025,1,10,71,0,2024,2,,13,67,68,65,1133452,0,0,1308,,3.39,0.42,0.43,0.41,0.42,0,0,1,,0,0,6,9.8,9,15.3,1,1.6,54020,5,0,0,0,0,-46,-3.4
1025,2,10,71,0,2024,2,,16,321,320,316,4616447,0,0,1113,,3.54,1.25,1.25,1.25,1.33,0,0,1.07,,0,0,1,0.3,0,0,5,1.6,252821,5.8,0,0,0,0,54,5.1
1025,3,10,71,0,2024,2,,38,1330,1341,1331,14924634,331258,662,861,,3.53,1.68,1.69,1.72,1.65,2.03,2.17,0.97,,1,2.7,9,0.7,8,0.6,9,0.7,467282,3.2,14478,4.6,-275,-29.3,22,2.6
1025,5,10,71,0,2024,2,,697,6522,6509,6518,81475949,9007244,52905,962,,0.94,0.93,0.93,0.93,0.94,0.99,0.99,1.01,,-4,-0.6,61,0.9,68,1.1,70,1.1,2431047,3.1,152253,1.7,-10531,-16.6,19,2
1027,0,10,70,0,2024,2,,255,4236,4235,4240,46236586,4492895,21042,839,,1,1,1,1,1,1,1,1,,10,4.1,-40,-0.9,-10,-0.2,0,0,2747573,6.3,-101275,-2.2,-10496,-33.3,53,6.7
1027,1,10,71,0,2024,2,,6,40,41,40,618910,0,0,1180,,4.69,0.49,0.5,0.49,0.5,0,0,1.02,,0,0,-1,-2.4,2,5.1,1,2.6,45794,8,0,0,0,0,69,6.2
1027,2,10,71,0,2024,2,,10,46,46,46,622186,0,0,1040,,6.62,0.35,0.35,0.35,0.4,0,0,1.13,,0,0,-8,-14.8,-8,-14.8,-8,-14.8,111118,21.7,0,0,0,0,312,42.9
1027,3,10,71,0,2024,2,,17,816,824,807,7976021,51296,124,752,,4.73,2,2.02,2.03,1.95,0.65,1.03,0.97,,0,0,-18,-2.2,-8,-1,3,0.4,352485,4.6,-28364,-35.6,-36,-22.5,40,5.6
1027,5,10,71,0,2024,2,,222,3334,3324,3347,37019469,4441599,20918,854,,0.89,0.92,0.92,0.92,0.94,1.01,1,1.02,,10,4.7,-13,-0.4,4,0.1,4,0.1,2238176,6.4,-72911,-1.6,-10460,-33.3,52,6.5
1029,0,10,70,0,2024,2,,295,2713,2715,2725,36455628,3172360,20213,1032,,1,1,1,1,1,1,1,1,,7,2.4,172,6.8,160,6.3,205,8.1,1379640,3.9,-481330,-13.2,-5790,-22.3,-31,-2.9
1029,1,10,71,0,2024,2,,8,54,56,55,999592,0,0,1398,,5.41,1.03,1.07,1.05,1.03,0,0,0.98,,0,0,10,22.7,10,21.7,7,14.6,132579,15.3,0,0,0,0,-52,-3.6
1029,2,10,71,0,2024,2,,11,108,112,110,1159398,0,0,811,,6.29,1.27,1.33,1.31,0.94,0,0,0.72,,0,0,-24,-18.2,-21,-15.8,-25,-18.5,-495221,-29.9,0,0,0,0,-144,-15.1
1029,3,10,71,0,2024,2,,30,588,595,601,6746416,182007,620,873,,7.21,2.25,2.27,2.35,2.09,3.29,5.38,0.91,,0,0,-9,-1.5,-10,-1.7,4,0.7,310112,4.8,9903,5.8,276,80.2,47,5.7
1029,5,10,71,0,2024,2,,246,1963,1952,1959,27550222,2990353,19593,1082,,0.86,0.85,0.84,0.84,0.89,0.97,0.98,1.05,,7,2.9,195,11,181,10.2,219,12.6,1432170,5.5,-491233,-14.1,-6066,-23.6,-60,-5.3
1031,0,10,70,0,2024,2,,1393,17131,17288,17039,191739736,22753447,103972,860,,1,1,1,1,1,1,1,1,,76,5.8,336,2,447,2.7,229,1.4,9398463,5.2,765859,3.5,-16277,-13.5,26,3.1
1031,1,10,71,0,2024,2,,15,255,254,252,5073836,0,0,1539,,2.15,0.77,0.76,0.77,0.99,0,0,1.3,,-1,-6.2,10,4.1,2,0.8,3,1.2,171633,3.5,0,0,0,0,23,1.5
1031,2,10,71,0,2024,2,,22,497,498,471,6301748,0,0,992,,2.67,0.93,0.93,0.9,0.97,0,0,1.05,,0,0,7,1.4,8,1.6,2,0.4,651091,11.5,0,0,0,0,92,10.2
1031,3,10,71,0,2024,2,,45,1994,1994,1998,23392434,288203,777,902,,2.29,1.21,1.2,1.25,1.38,0.73,1.31,1.13,,2,4.7,-57,-2.8,-53,-2.6,-68,-3.3,84960,0.4,75758,35.7,287,58.6,29,3.3
1031,5,10,71,0,2024,2,,1311,14385,14542,14318,156971718,22465244,103195,838,,0.97,0.98,0.99,0.98,0.96,1.01,1,0.98,,75,6.1,376,2.7,490,3.5,292,2.1,8490779,5.7,690101,3.2,-16564,-13.8,24,2.9
1033,0,10,70,0,2024,2,,1617,24427,24471,24467,349702228,27662978,158250,1100,,1,1,1,1,1,1,1,1,,84,5.5,135,0.6,37,0.2,-34,-0.1,17731801,5.3,-332416,-1.2,-30335,-16.1,54,5.2
1033,1,10,71,0,2024,2,,15,733,731,743,21899738,0,0,2290,,1.85,1.55,1.55,1.57,2.35,0,0,1.51,,0,0,39,5.6,35,5,30,4.2,2025147,10.2,0,0,0,0,109,5
1033,2,10,71,0,2024,2,,16,654,654,587,8061732,0,0,982,,1.67,0.86,0.86,0.78,0.68,0,0,0.82,,0,0,-18,-2.7,-21,-3.1,-5,-0.8,628790,8.5,0,0,0,0,97,11
1033,3,10,71,0,2024,2,,49,3383,3382,3418,48121193,231768,1227,1091,,2.15,1.44,1.43,1.49,1.55,0.48,1.36,1.07,,0,0,-39,-1.1,-61,-1.8,-25,-0.7,921656,2,-26449,-10.2,-445,-26.6,34,3.2
1033,5,10,71,0,2024,2,,1537,19657,19704,19719,271619565,27431210,157023,1061,,0.97,0.94,0.94,0.94,0.91,1.02,1,0.97,,84,5.8,153,0.8,84,0.4,-34,-0.2,14156208,5.5,-305967,-1.1,-29890,-16,52,5.2
1035,0,10,70,0,2024,2,,292,3295,3316,3274,39923064,4257341,21261,932,,1,1,1,1,1,1,1,1,,14,5,94,2.9,73,2.3,60,1.9,3601155,9.9,-76161,-1.8,-10266,-32.6,64,7.4
1035,1,10,71,0,2024,2,,5,24,26,23,321168,0,0,1015,,3.41,0.38,0.41,0.36,0.3,0,0,0.79,,0,0,-3,-11.1,-3,-10.3,-1,-4.2,-19790,-5.8,0,0,0,0,31,3.2
1035,2,10,71,0,2024,2,,12,197,187,189,2563116,0,0,1032,,6.94,1.91,1.82,1.88,1.89,0,0,1.01,,0,0,15,8.2,14,8.1,5,2.7,277454,12.1,0,0,0,0,53,5.4
1035,3,10,71,0,2024,2,,22,475,476,486,5441681,27303,54,874,,5.34,1.5,1.49,1.58,1.54,0.37,0.45,1.01,,0,0,4,0.8,-1,-0.2,3,0.6,212730,4.1,7916,40.8,15,38.5,31,3.7
1035,5,10,71,0,2024,2,,253,2599,2627,2576,31597099,4230038,21207,935,,0.89,0.92,0.93,0.92,0.93,1.02,1,1.01,,14,5.9,78,3.1,63,2.5,53,2.1,3130761,11,-84077,-1.9,-10281,-32.7,72,8.3
1037,0,10,70,0,2024,2,,156,1470,1485,1485,18652761,1547634,12911,969,,1,1,1,1,1,1,1,1,,-3,-1.9,-108,-6.8,-46,-3,-62,-4,2875997,18.2,46553,3.1,-4863,-27.4,187,23.9
1037,1,10,71,0,2024,2,,6,16,16,14,213636,0,0,1072,,7.67,0.56,0.56,0.49,0.43,0,0,0.8,,0,0,0,0,1,6.7,-1,-6.7,-2083,-1,0,0,0,0,-10,-0.9
1037,2,10,71,0,2024,2,,12,37,38,37,437353,0,0,901,,12.98,0.81,0.82,0.81,0.69,0,0,0.85,,-1,-7.7,-11,-22.9,-11,-22.4,-11,-22.9,-4031,-0.9,0,0,0,0,199,28.3
1037,3,10,71,0,2024,2,,14,312,316,311,2649666,16200,32,651,,6.36,2.2,2.21,2.23,1.6,0.6,0.43,0.72,,0,0,9,3,19,6.4,13,4.4,97260,3.8,5407,50.1,11,52.4,-5,-0.8
1037,5,10,71,0,2024,2,,124,1105,1115,1123,15352106,1531434,12879,1060,,0.82,0.88,0.88,0.88,0.97,1.01,1,1.1,,-2,-1.6,-106,-8.8,-55,-4.7,-63,-5.3,2784851,22.2,41146,2.8,-4874,-27.5,247,30.4
1039,0,10,70,0,2024,2,,1134,12105,12077,12068,141084009,14013293,83008,898,,1,1,1,1,1,1,1,1,,50,4.6,176,1.5,95,0.8,70,0.6,9032795,6.8,-736772,-5,-18547,-18.3,49,5.8
1039,1,10,71,0,2024,2,,15,130,128,129,2306375,0,0,1375,,2.64,0.55,0.55,0.55,0.61,0,0,1.11,,0,0,12,10.2,10,8.5,10,8.4,214893,10.3,0,0,0,0,15,1.1
1039,2,10,71,0,2024,2,,17,359,366,372,4610462,0,0,970,,2.53,0.95,0.98,1,0.96,0,0,0.99,,0,0,10,2.9,12,3.4,15,4.2,92070,2,0,0,0,0,-14,-1.4
1039,3,10,71,0,2024,2,,46,1590,1581,1589,17911874,44104,89,868,,2.88,1.36,1.36,1.4,1.43,0.18,0.19,1.04,,1,2.2,24,1.5,12,0.8,16,1,1159969,6.9,4551,11.5,10,12.7,47,5.7
1039,5,10,71,0,2024,2,,1056,10026,10002,9978,116255298,13969189,82919,894,,0.96,0.97,0.97,0.97,0.97,1.02,1.01,1,,49,4.9,130,1.3,61,0.6,29,0.3,7565863,7,-741323,-5,-18557,-18.3,52,6.2
1041,0,10,70,0,2024,2,,313,3442,3443,3488,42221336,3512654,26149,939,,1,1,1,1,1,1,1,1,,15,5,-79,-2.2,-129,-3.6,-123,-3.4,123054,0.3,-1277765,-26.7,-17946,-40.7,31,3.4
1041,1,10,71,0,2024,2,,10,35,39,38,484431,0,0,998,,6.37,0.53,0.59,0.56,0.43,0,0,0.77,,0,0,-4,-10.3,-4,-9.3,-3,-7.3,-6676,-1.4,0,0,0,0,77,8.4
1041,2,10,71,0,2024,2,,10,55,55,55,808209,0,0,1130,,5.39,0.51,0.51,0.51,0.56,0,0,1.1,,0,0,2,3.8,2,3.8,4,7.8,147571,22.3,0,0,0,0,159,16.4
